Competency skill,Prompts,Output
Communication Skills,"Communication Skills - are based on the ability to respectfully communicate ideas and information to ensure that information and messages are understood and have the desired impact.
Level 1 - Communicates in a clear, concise and impartial manner. Takes time to listen to and understand the perspectives of others and proposes solutions.
Level 2 - Encourages open communication and builds consensus. Uses tact and discretion in dealing with sensitive information, and keeps staff informed of decisions and directives as appropriate.
Level 3 - Promotes an environment of open communication within and outside of the Agency, ensuring that sensitive information is protected. Inspires staff at all levels through his/her communication.  
","Communication Skills - 
Individual Contributor - Communicates in a clear, concise and impartial manner. Takes time to listen to and understand the perspectives of others and proposes solutions.
Middle Manager - Encourages open communication and builds consensus. Uses tact and discretion in dealing with sensitive information, and keeps staff informed of decisions and directives as appropriate.
Senior Leadership - Promotes an environment of open communication within and outside of the Agency, ensuring that sensitive information is protected. Inspires staff at all levels through his/her communication.  "
Teamwork,"Teamwork - implies working cooperatively with others, being a part of a team, and assuming the role of leader of a team.
Level 1 - Actively contributes to achieving team results. Supports team decisions.
Level 2 - Encourages teamwork, builds effective teams and resolves problems by creating a supportive and collaborative team spirit, remaining mindful of the need to collaborate with people outside the immediate area of responsibility
Level 3 - Motivates and empowers staff, and fosters a collaborative approach across the Department/Division and the Agency as a whole. Acts as a role model when handling disagreements.","Teamwork - 
Individual Contributor - Actively contributes to achieving team results. Supports team decisions.
Middle Manager - Encourages teamwork, builds effective teams and resolves problems by creating a supportive and collaborative team spirit, remaining mindful of the need to collaborate with people outside the immediate area of responsibility
Senior Leadership - Motivates and empowers staff, and fosters a collaborative approach across the Department/Division and the Agency as a whole. Acts as a role model when handling disagreements."
Planning and Organizing,"Planning and Organizing - is about understanding human, financial, and operational resource issues to make decisions aimed at building and planning efficient project workflows, and at improving overall organizational performance
Level 1 - Plans and organizes his/her own work in support of achieving the team or Section’s priorities. Takes into account potential changes and proposes contingency plans. 
Level 2 - Sets clearly defined objectives for himself/herself and the team or Section. Identifies and organizes deployment of resources based on assessed needs, taking into account possible changing circumstances. Monitors team’s performance in meeting the assigned deadlines and milestones. 
Level 3 - Sets clearly defined objectives for the Department/ Division in line with the priorities of the Agency. Works toward Agency-wide efficiencies with a view to strengthening and harmonizing planning systems and capacities at the Departmental/ Divisional level. ","Planning and Organizing - 
Individual Contributor - Plans and organizes his/her own work in support of achieving the team or Section’s priorities. Takes into account potential changes and proposes contingency plans. 
Middle Manager - Sets clearly defined objectives for himself/herself and the team or Section. Identifies and organizes deployment of resources based on assessed needs, taking into account possible changing circumstances. Monitors team’s performance in meeting the assigned deadlines and milestones. 
Senior Leadership - Sets clearly defined objectives for the Department/ Division in line with the priorities of the Agency. Works toward Agency-wide efficiencies with a view to strengthening and harmonizing planning systems and capacities at the Departmental/ Divisional level. "
Achievement Focus,"Achievement Focus - is generating results by assuming responsibility for one's performance and the correctness of one's interventions, and recognising opportunities and acting efficiently at the appropriate moment and within the given deadlines.
Level 1 -Takes initiative in defining realistic outputs and clarifying roles, responsibilities and expected results in the context of the Department/Division’s programme. Evaluates his/her results realistically, drawing conclusions from lessons learned. 
Level 2 - Sets realistic targets for himself/herself and for the team; ensures availability of resources and supports staff members in achieving results. Monitors progress and performance; evaluates achievements and integrates lessons learned.
Level 3 - Sets the overall direction for the Departmental/ Divisional goals, and promotes a results based management culture that focuses on the achievement of programme results in an effective and efficient manner.","Achievement Focus - 
Individual Contributor -Takes initiative in defining realistic outputs and clarifying roles, responsibilities and expected results in the context of the Department/Division’s programme. Evaluates his/her results realistically, drawing conclusions from lessons learned. 
Middle Manager - Sets realistic targets for himself/herself and for the team; ensures availability of resources and supports staff members in achieving results. Monitors progress and performance; evaluates achievements and integrates lessons learned.
Senior Leadership - Sets the overall direction for the Departmental/ Divisional goals, and promotes a results based management culture that focuses on the achievement of programme results in an effective and efficient manner."
Analytical Thinking,"Analytical Thinking - is the ability to identify patterns across situations that are not obviously related, and to identify key or underlying issues in complex situations. 
Level 1 - Gathers and analyzes information, identifying critical relationships and patterns among data and proposes workable solutions. Analyses information to identify cause and effect relationships and correlations. Identifies critical elements and assesses consequences of different courses of action and proposes solutions.
Level 2 - Applies business analytics to establish programme priorities. Makes rational judgements from the available information and analysis.
Level 3 - Takes an analytical approach to building strategies across the Department/Division and translates them into strategic programmatic plans.","Analytical Thinking - 
Individual Contributor - Gathers and analyzes information, identifying critical relationships and patterns among data and proposes workable solutions. Analyses information to identify cause and effect relationships and correlations. Identifies critical elements and assesses consequences of different courses of action and proposes solutions.
Middle Manager - Applies business analytics to establish programme priorities. Makes rational judgements from the available information and analysis.
Senior Leadership - Takes an analytical approach to building strategies across the Department/Division and translates them into strategic programmatic plans."
Leading and Supervising,"Leading and Supervising - involve guiding and overseeing a team to achieve goals. It's about directing efforts, providing support, and ensuring tasks are completed effectively for overall success.
Level 1 - Demonstrates initiative and role model behaviour. Is proactive and works toward supporting an achievement oriented culture and performance excellence.
Level 2 - Serves as a role model when leading and supervising others. Provides his/her team with clear direction, promotes a dynamic working climate and empowers others. Is open to new ideas and demonstrates creativity in search of excellence.
Level 3 - Serves as a role model to managers as well as to staff members in general. Demonstrates leadership, inspires others and provides clear direction to achieve the Agency’s mandate and priorities. Motivates and empowers staff, and recognizes individual and team contributions to the Agency’s success.","Leading and Supervising -
Individual Contributor - Demonstrates initiative and role model behaviour. Is proactive and works toward supporting an achievement oriented culture and performance excellence.
Middle Manager - Serves as a role model when leading and supervising others. Provides his/her team with clear direction, promotes a dynamic working climate and empowers others. Is open to new ideas and demonstrates creativity in search of excellence.
Senior Leadership - Serves as a role model to managers as well as to staff members in general. Demonstrates leadership, inspires others and provides clear direction to achieve the Agency’s mandate and priorities. Motivates and empowers staff, and recognizes individual and team contributions to the Agency’s success."
Developing Talent,"Developing Talent - means fostering an environment that will encourage professional and personal growth and the transfer of knowledge to future talent.
Level 1 - Actively seeks opportunities to learn by formal and informal means; learns from others, adopting and sharing best practice.
Level 2 - Identifies and establishes systems and mechanisms to facilitate development of best practice and knowledge management. Encourages staff members to learn continuously and to share knowledge through mentoring, networking and development, and training opportunities.
Level 3 - Is a role model for continuous learning and promotes the sharing and preservation of knowledge across the Department/Division.","Developing Talent - 
Individual Contributor - Actively seeks opportunities to learn by formal and informal means; learns from others, adopting and sharing best practice.
Middle Manager - Identifies and establishes systems and mechanisms to facilitate development of best practice and knowledge management. Encourages staff members to learn continuously and to share knowledge through mentoring, networking and development, and training opportunities.
Senior Leadership - Is a role model for continuous learning and promotes the sharing and preservation of knowledge across the Department/Division."
Decision Making,"Decision Making - is the process of choosing the best option from available alternatives, considering information and goals, to make effective and impactful choices in a timely manner.
Level 1 - Consults with supervisor/ manager and takes decisions in full compliance with the Agency’s regulations and rules. Makes decisions reflecting best practice and professional theories and standards.
Level 2 -Consults with and seeks advice at the appropriate managerial level when making complex decisions. Facilitates dialogue and development of best practice to support judgment/decision making, in full compliance with the Agency’s regulations and rules.
Level 3 - Ensures that the judgements and decisions that are taken promote the Agency’s strategic goals, the one-house approach, and are in full compliance with the Agency’s regulations and rules","Decision Making -
Individual Contributor - Consults with supervisor/ manager and takes decisions in full compliance with the Agency’s regulations and rules. Makes decisions reflecting best practice and professional theories and standards.
Middle Manager -Consults with and seeks advice at the appropriate managerial level when making complex decisions. Facilitates dialogue and development of best practice to support judgment/decision making, in full compliance with the Agency’s regulations and rules.
Senior Leadership - Ensures that the judgements and decisions that are taken promote the Agency’s strategic goals, the one-house approach, and are in full compliance with the Agency’s regulations and rules"
Change Management,"Change Management - involves effectively guiding individuals and organizations through transitions by planning, communicating, and implementing adjustments to achieve desired outcomes smoothly and with minimal disruption.
Level 1 - Demonstrates openness to new situations. Contributes with ideas and innovative approaches to enhance work processes and procedures. 
Level 2 - Anticipates the need for change, dedicates the required resources, and fosters innovation and creativity. Facilitates and leads change management initiatives and monitors their implementation.
Level 3 - Creates an open climate fostering creativity, innovation and acceptance. Sets the agenda for change and foresees the impact of change on his/her Department/ Division.","Change Management - 
Individual Contributor - Demonstrates openness to new situations. Contributes with ideas and innovative approaches to enhance work processes and procedures. 
Middle Manager - Anticipates the need for change, dedicates the required resources, and fosters innovation and creativity. Facilitates and leads change management initiatives and monitors their implementation.
Senior Leadership - Creates an open climate fostering creativity, innovation and acceptance. Sets the agenda for change and foresees the impact of change on his/her Department/ Division."
Strategic Networking,"Strategic Networking - involves working to build and maintain friendly, trustworthy and open internal and external relationships and networks with people who are, or might become, important actors in achieving strategic-related goals.
Level 1 - Identifies and builds relationships. Develops and maintains long lasting partnerships to strengthen relationships. Delivers programmatic outputs and acquires resources in support of Agency goals.
Level 2 - Identities interests and goals common to the Agency’s partners and its stakeholders to foster partnership building. Promotes collaboration with partners, colleagues across teams and stakeholders. 
Level 3 - Develops strategic partnerships and alliances. Leverages combined network resources to support the Agency’s programmes and priorities in achieving Agencywide results.","Strategic Networking - 
Individual Contributor - Identifies and builds relationships. Develops and maintains long lasting partnerships to strengthen relationships. Delivers programmatic outputs and acquires resources in support of Agency goals.
Middle Manager - Identities interests and goals common to the Agency’s partners and its stakeholders to foster partnership building. Promotes collaboration with partners, colleagues across teams and stakeholders. 
Senior Leadership - Develops strategic partnerships and alliances. Leverages combined network resources to support the Agency’s programmes and priorities in achieving Agencywide results."
